source_id,url,platform,keyword,category,creator,title,status,notes
SRC0001,https://www.tiktok.com/@binbunne/video/7324563639254535442,tiktok,món ăn sinh viên,student,binbunne,180.4K,new,auto_discovered_from_tiktok_search
SRC0002,https://www.tiktok.com/@bichchamhoc/video/7668691812051193106,tiktok,món ăn sinh viên,student,bichchamhoc,230,new,auto_discovered_from_tiktok_search
SRC0003,https://www.tiktok.com/@tuyetdayne1309/video/7657546914753301776,tiktok,món ăn sinh viên,student,tuyetdayne1309,7597,new,auto_discovered_from_tiktok_search
SRC0004,https://www.tiktok.com/@nguyenhimatto/video/7662354469920722194,tiktok,món ăn sinh viên,student,nguyenhimatto,34.8K,new,auto_discovered_from_tiktok_search
SRC0005,https://www.tiktok.com/@_nauancungzyy_/video/7446760019904744711,tiktok,món ăn sinh viên,student,_nauancungzyy_,75.4K,new,auto_discovered_from_tiktok_search
SRC0006,https://www.tiktok.com/@binbunne/video/7658912664772414740,tiktok,món ăn sinh viên,student,binbunne,42.2K,new,auto_discovered_from_tiktok_search
SRC0007,https://www.tiktok.com/@mhon.vbep/video/7418525226264399112,tiktok,món ăn sinh viên,student,mhon.vbep,Nhiều người thích 327.9K,new,auto_discovered_from_tiktok_search
SRC0008,https://www.tiktok.com/@ngochllk7ji/video/7595584690132716818,tiktok,món ăn sinh viên,student,ngochllk7ji,62K,new,auto_discovered_from_tiktok_search
SRC0009,https://www.tiktok.com/@binbunne/video/7396912395492396295,tiktok,món ăn sinh viên,student,binbunne,Nhiều người thích 202.9K,new,auto_discovered_from_tiktok_search
SRC0010,https://www.tiktok.com/@binbunne/video/7277852791371009287,tiktok,món ăn sinh viên,student,binbunne,Nhiều người thích 277.3K,new,auto_discovered_from_tiktok_search
